id,pred,split
mydoc_5227,201202,public
mydoc_5390,C,public
mydoc_25131,30,public
mydoc_8211,Singles,public
mydoc_23956,112,public
mydoc_26147,100.00,public
mydoc_18689,119,public
mydoc_11658,39,public
mydoc_6003,No,public
mydoc_27864,Fleishman-Hillard,public
mydoc_5922,16,public
mydoc_11857,"$10,500.00",public
mydoc_19608,09/01/02 - 08/31/03,public
mydoc_22982,09/05/02,public
mydoc_22908,800,public
mydoc_8839,30 days,public
mydoc_9988,"$3,500",public
mydoc_22451,Newspaper,public
mydoc_23042,99,public
mydoc_14296,11082008,public
mydoc_24737,035566,public
mydoc_2680,10/27/2010,public
mydoc_598,CAND,public
mydoc_9114,1000,public
mydoc_17894,32,public
mydoc_15083,New York,public
mydoc_29225,The Nielsen Company,public
mydoc_6942,12-0069,public
mydoc_25251,UC,public
mydoc_9626,"$1,500.00",public
mydoc_20765,7017,public
mydoc_27901,1800,public
mydoc_9991,"$3,253.46",public
mydoc_26589,02/19/2020,public
mydoc_1006,700320,public
mydoc_15687,7004,public
mydoc_7009,Deloitte Media,public
mydoc_19565,Heather,public
mydoc_23111,Invoice,public
mydoc_3570,13.00,public
mydoc_10022,N04767,public
mydoc_5555,"$1,164,700.00",public
mydoc_25886,8004,public
mydoc_6892,158.00,public
mydoc_15698,Keishauna Corley,public
mydoc_14046,Page 9,public
mydoc_27945,1,public
mydoc_28459,STD,public
mydoc_17485,6/28/2019,public
mydoc_6799,"$29,156.00",public
mydoc_14742,No,public
mydoc_10464,10%,public
mydoc_2706,Amperis cable system order,public
mydoc_1316,10/21/02,public
mydoc_27289,101210,public
mydoc_11575,C,public
mydoc_146,21,public
mydoc_23847,Spots,public
mydoc_19373,WALK FM 2018,public
mydoc_22079,B8245-CAM,public
mydoc_18716,10/12/01,public
mydoc_27615,AMERICAN RED CROSS,public
mydoc_9823,10/27/2010,public
mydoc_8825,30,public
mydoc_28330,"$12,000",public
mydoc_20208,01/07/2010,public
mydoc_27556,OK,public
mydoc_9466,7/24/2002,public
mydoc_24555,P,public
mydoc_20514,12,public
mydoc_20042,F,public
mydoc_16221,123456,public
mydoc_9508,45 Days,public
mydoc_9845,Yes,public
mydoc_11143,0.00,public
mydoc_12399,11/13/01,public
mydoc_5670,Strategic Media Services,public
mydoc_195,Premium,public
mydoc_17242,Monthly,public
mydoc_10875,Duplicate Invoice,public
mydoc_14127,01/01/2020 - 12/31/2020,public
mydoc_25066,STEPHEN,public
mydoc_7443,41887,public
mydoc_11762,Jeff Wright for Genesee County in House,public
mydoc_20210,WISH,public
mydoc_24973,07/01/2010 - 09/30/2010,public
mydoc_7299,11/05/2012,public
mydoc_2752,"1,450",public
mydoc_5167,00,public
mydoc_16376,W855,public
mydoc_17281,8003298,public
mydoc_11112,Cable System Order,public
mydoc_2934,1,public
mydoc_29632,123456,public
mydoc_24847,Amanda Malapane,public
mydoc_16641,0123,public
mydoc_21609,Order,public
mydoc_5557,"$11,740.00",public
mydoc_4671,01,public
mydoc_5208,100%,public
mydoc_1824,14,public
mydoc_7487,"1,200",public
mydoc_17745,07/01/2002 - 06/30/2003,public
mydoc_25037,CA,public
mydoc_7880,CH11156,public
mydoc_24201,10/10/02,public
mydoc_3382,contract,public
mydoc_3678,121,public
mydoc_16409,monthly,public
mydoc_22443,1,public
mydoc_16587,87.79,public
mydoc_5859,10%,public
mydoc_25023,"10,000.00",public
mydoc_16470,40,public
mydoc_20550,CANAL PARTNERS MEDIA,public
mydoc_15308,888-655-6222,public
mydoc_29657,10/29/96,public
mydoc_25725,Steve Waggoner,public
mydoc_21840,1,public
mydoc_6665,6477,public
mydoc_12749,52476,public
